Visual_angle_and_orientation,Image_area,Aspect ratio,Distance to retina center
5135,0.8257533126486989,1.3241898073499583,1.535117438561155
590,0.6379649195951795,1.0814302997050922,1.53425430643951
545,0.1533613123433395,1.0090719278906393,1.7706998402591014
50,0.04005704091394458,1.0403812072421754,2.0870031696568816
10135,1.9088468003465677,1.7701846625761293,1.3897377991831215
1090,1.51724699364761,1.0569022034483042,1.3801072965618104
1045,0.38029986332637117,0.9155952543172361,1.7364662756936384
100,0.12101874562371111,0.7423796282065772,2.213212547936815
45135,4.436061231278713,1.5189193754804835,1.7115282577231297
4590,2.8063617654886306,1.0745960821381553,1.3447767907485892
4545,1.0202696155676476,0.8116459735952358,1.728498795151599
450,0.45499222013049717,0.6231485588187607,2.3922709140158096
