Visual_angle_and_orientation,Semi major,Semi minor,Image_area,Aspect ratio,Distance to retina center,Azimuth,Altitude
5135,0.5797602326744643,0.2826054874882557,0.5187819375626016,2.051482573205722,0.9713123821552364,75.23002789930234,33.436541428857765
590,0.3925352569516041,0.3846638653826882,0.4777996869715995,1.020463038713254,1.0500870058067975,75.31243062279901,25.759901246083114
545,0.1371903901187484,0.13190331543896835,0.05689859345301592,1.0400829551720128,1.3253986407483813,72.30097009364854,18.442344754854595
50,0.19739002143030687,0.19121136416679993,0.11878627957459333,1.0323132324819204,1.6563519137852218,68.10521321239206,14.82922016130798
10135,0.9405074346239841,0.5273263379754854,1.5964649656099474,1.7835396544666935,1.0025948492534156,54.772278458939475,66.78749427208002
1090,0.5875365924686544,0.5850362360353719,1.0980147913008116,1.0042738488306753,1.0095571636401846,71.37854330800769,46.06864788604821
1045,0.21869018248316524,0.27422833343169045,0.18894215141729714,0.7974747895174747,1.3743331685983353,70.0476825628907,28.207636186292323
100,0.2767543605313732,0.31489150598959353,0.2749203570038344,0.8788879828994794,1.8662381012376081,64.25999029913041,20.586776971090067
45135,1.2651590022064334,0.9828508440448824,4.168051132518957,1.2872339784536617,1.6120925731551001,38.69654948408894,62.736622170784045
4590,0.7981762419921434,0.8085947563571142,2.093588551688882,0.987115283294801,1.1566744281301693,42.058451039963316,69.94712915820377
4545,0.3917894947901529,0.5486611779484436,0.6823263327612746,0.7140827719124104,1.4861961042912364,64.56245777332472,39.846959257553856
450,0.3926514734510194,0.5463767760682176,0.680966252834382,0.7186459795684931,2.160996922586131,58.323254736670066,26.117230376318886
